,description,link,name,number,website
455,"A theoretical CS course covering advances in algorithmic game theory. This includes study of strategic, computational, learning, dynamic, and fairness aspects of games and markets (organizations that involves rational and strategic agents). In particular, topics will include computation and complexity of equilibria, mechanism design, fair-division, dynamics in games and markets, price-of-anarchy etc.. These topics arise from applications such as online marketplaces (like Lyft, Uber, eBay, sponsored search, TaskRabbit), social networks, recommendation systems, kidney exchange, spectrum auction, etc., and thereby will prepare students for related research and/or industry jobs. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 473.",,Topics in Algrthmc Game Theory,CS 580,https://courses.grainger.illinois.edu/cs580/fa2021/
456,"The purpose of the course is to give each student enough background and training in the area of algorithmic genomic biology so that each will be able to do research in this area, and publish papers. The main focus of the course is phylogeny (evolutionary tree) estimation, multiple sequence alignment, and genome-scale phylogenetics, which are problems that present very interesting challenges from a computational and statistical standpoint. Time permitting, we will also discuss computational problems in microbiome analysis, protein function and structure prediction, genome assembly, and even historical linguistics. Students will learn the mathematical and computational foundations in these areas, read the current literature, and do a team research project. The course is designed for doctoral students in computer science, computer engineering, bioengineering, mathematics, and statistics, and does not depend on any prior background in biology. The technical material will depend on discrete",,Algorithmic Genomic Biology,CS 581,http://tandy.cs.illinois.edu/CS581-Fa2021-short.html
457,"The purpose of the course is to give each student enough background and training in the area of algorithmic genomic biology so that each will be able to do research in this area, and publish papers. The main focus of the course is phylogeny (evolutionary tree) estimation, multiple sequence alignment, and genome-scale phylogenetics, which are problems that present very interesting challenges from a computational and statistical standpoint. Time permitting, we will also discuss computational problems in microbiome analysis, protein function and structure prediction, genome assembly, and even historical linguistics. Students will learn the mathematical and computational foundations in these areas, read the current literature, and do a team research project. The course is designed for doctoral students in computer science, computer engineering, bioengineering, mathematics, and statistics, and does not depend on any prior background in biology. The technical material will depend on discrete",,Algorithmic Genomic Biology,CS 581,http://tandy.cs.illinois.edu/CS581-Fa2021-short.html
458,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,CS Colloquium,CS 591 CSO,https://courses.grainger.illinois.edu/cs591cs/fa2021/index.html
459,"Approximation algorithms for NP-hard problems. Basic and advanced techniques in approximation algorithm design: combinatorial algorithms; mathematical programming methods including linear and semi-definite programming, local search methods, and others. Algorithms for graphs and networks, constraint satisfaction, packing and scheduling. Course Information: Prerequisite: CS 573 or consent of instructor.",,Approximation Algorithms,CS 583,https://courses.engr.illinois.edu/cs583/fa2021/
460,"Approximation algorithms for NP-hard problems. Basic and advanced techniques in approximation algorithm design: combinatorial algorithms; mathematical programming methods including linear and semi-definite programming, local search methods, and others. Algorithms for graphs and networks, constraint satisfaction, packing and scheduling. Course Information: Prerequisite: CS 573 or consent of instructor.",,Approximation Algorithms,CS 583,https://courses.engr.illinois.edu/cs583/fa2021/
461,"Online social interactions occur in many arenas important to society and human well-being, but are mediated through algorithmic interventions that alter the users expectations in these social spaces. This class explores the presentation of self, the presentation of collectives, the presentation of news, and social dynamics in these online spaces--and how algorithmic intervention shapes them from the perspective of social signaling theory. Topics covered include: the evolution of algorithmic matchmaking (as in online resume/interviews and dating sites), why people share misinformation, the mitigation of trolling, ethics, and bias in social media systems. Upon completion of this course, students will have an up-to-date understanding of the design social media interfaces with incentive structures from social signaling theory. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 465 or equivalent or permission of instructor. Prioritize PhD students, then others.",,Social Spaces,CS 567,http://social.cs.illinois.edu/class/cs567
462,"Online social interactions occur in many arenas important to society and human well-being, but are mediated through algorithmic interventions that alter the users expectations in these social spaces. This class explores the presentation of self, the presentation of collectives, the presentation of news, and social dynamics in these online spaces--and how algorithmic intervention shapes them from the perspective of social signaling theory. Topics covered include: the evolution of algorithmic matchmaking (as in online resume/interviews and dating sites), why people share misinformation, the mitigation of trolling, ethics, and bias in social media systems. Upon completion of this course, students will have an up-to-date understanding of the design social media interfaces with incentive structures from social signaling theory. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 465 or equivalent or permission of instructor. Prioritize PhD students, then others.",,Social Spaces,CS 567,http://social.cs.illinois.edu/class/cs567
463,"Advanced topics in computer-aided methods for formal deduction, selected from areas of current research, such as: resolution theorem proving strategies, special relations, equational reasoning, unification theory, rewrite systems, mathematical induction, program derivation, hybrid inference systems, and programming with logic. Course Information: May be repeated in separate terms. Prerequisite: As specified for each topic offering, see Schedule or departmental course description.",,Topics in Automated Deduction,CS 576,https://courses.grainger.illinois.edu/cs576/fa2021/
464,"Advanced topics in computer-aided methods for formal deduction, selected from areas of current research, such as: resolution theorem proving strategies, special relations, equational reasoning, unification theory, rewrite systems, mathematical induction, program derivation, hybrid inference systems, and programming with logic. Course Information: May be repeated in separate terms. Prerequisite: As specified for each topic offering, see Schedule or departmental course description.",,Topics in Automated Deduction,CS 576,https://courses.grainger.illinois.edu/cs576/fa2021/
465,"Advanced topics in security and privacy problems in machine learning systems, selected from areas of current research such as: adversarial machine learning, differential privacy, game theory enabled defenses, robust learning methods, machine learning based cybercrime analysis, network intrusion detection, and malware analysis, and machine learning interpretation techniques. Course Information: 4 graduate hours. No professional credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 446 and CS 463 or equivalent courses, by consent of instructor. Additional prerequisites or corequisites may be specified each term. See section information.",,"Adv Topics in Sec, Priv and ML",CS 562,https://aisecure.github.io/TEACHING/CS562/CS562-Fall2021.html
466,"Advanced topics in security and privacy problems in machine learning systems, selected from areas of current research such as: adversarial machine learning, differential privacy, game theory enabled defenses, robust learning methods, machine learning based cybercrime analysis, network intrusion detection, and malware analysis, and machine learning interpretation techniques. Course Information: 4 graduate hours. No professional credit. May be repeated if topics vary. Credit is not given towards a degree from multiple offerings of this course if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 446 and CS 463 or equivalent courses, by consent of instructor. Additional prerequisites or corequisites may be specified each term. See section information.",,"Adv Topics in Sec, Priv and ML",CS 562,https://aisecure.github.io/TEACHING/CS562/CS562-Fall2021.html
467,"Comprehensive treatment of algebraic and multigrid iterative methods to solve systems of equations, primarily linear equations arising from discretization of partial differential equations. Course Information: Same as CSE 511.",,Iterative & Multigrid Methods,CS 556,https://relate.cs.illinois.edu/course/cs556-f21/
468,"Comprehensive treatment of algebraic and multigrid iterative methods to solve systems of equations, primarily linear equations arising from discretization of partial differential equations. Course Information: Same as CSE 511.",,Iterative & Multigrid Methods,CS 556,https://relate.cs.illinois.edu/course/cs556-f21/
469,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Advanced Seminar,CS 591 SE,https://wiki.illinois.edu//wiki/display/SoftEng/Home
470,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 WSI,https://courses.grainger.illinois.edu/cs598wsi/
471,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 TMC,https://courses.grainger.illinois.edu/cs598tmc/fa2021/
472,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 SVA,https://wiki.illinois.edu/wiki/display/CS598SVASP21
473,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 SHW,https://shenlong.web.illinois.edu/teaching/cs598fall21/
474,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 PSR,https://courses.grainger.illinois.edu/cs598psr/
475,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 RK,https://courses.grainger.illinois.edu/cs598rk/
476,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 OOK,https://relate.cs.illinois.edu/course/cs598ook-sp21/
477,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 MEB,http://www.el-kebir.net/teaching/CS598MEB.html
478,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 LCE,https://vikram.cs.illinois.edu/cs-598lce-languages-and-compilers-for-edge-computing/
479,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 KKH,http://cs598kkh2021.web.illinois.edu/
480,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 EWS,http://www.eshwarchandrasekharan.com/spring2021-cs598.html
481,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 GDS,https://ggndpsngh.github.io/teaching/2021-fall-lai/
482,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 ECH,http://www.eshwarchandrasekharan.com/fall2021-cs598.html
483,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 JBR,https://reyhaneh.cs.illinois.edu/cs598-sp2021.htm
484,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 HAZ,https://hanzhaoml.github.io/courses/cs598-haz/index.html
485,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 DK,https://courses.grainger.illinois.edu/cs598dk/
486,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 DEL,http://canvas.illinois.edu/courses/14110
487,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 CM,https://charithm.web.illinois.edu/cs598cm/fa2021/
488,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 CG,https://docs.google.com/spreadsheets/d/1QhiwkMEO0sKwQCjhZOCm4ebTghaF12Z865hfvMMe0Ag/edit?usp=sharing
489,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 CAL,https://sites.google.com/view/cs598cal
490,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 BAN,https://arindam.cs.illinois.edu/courses/f21cs598/Syllabus.html
491,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 598 AK,HTTP://COURSES.GRAINGER.ILLINOIS.EDU/CS598AK/FA2021
492,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Advanced Seminar,CS 591 TA,https://canvas.illinois.edu
493,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Advanced Seminar,CS 591 LRS,https://wiki.illinois.edu/wiki/display/cs598lrs/Home
494,"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",,Advanced Seminar,CS 591 CSO,https://courses.grainger.illinois.edu/cs591cs/fa2021/index.html
495,"Basic and advanced concepts in the design and analysis of randomized algorithms. Sampling; concentration inequalities such as Chernoff-Hoeffding bounds; probabilistic method; random walks, dimension reduction; entropy; martingales and Azuma's inequality; derandomization. Randomized algorithms for sorting and searching; graphs; geometric problems. Basics of pseudorandomness and randomized complexity classes. Course Information: Prerequisite: CS 473; MATH 461 or STAT 400.",,Randomized Algorithms,CS 574,https://courses.grainger.illinois.edu/cs574/
496,"In-depth coverage of advanced topics in human-computer interaction (HCI). Applied models of human performance and attention, design tools for creative design tasks, interruptions and peripheral displays, gestures, and bimanual input, and usability evaluation techniques. Students complete a research-oriented term project of their choosing. Course Information: Prerequisite: CS 465.",,Human-Computer Interaction,CS 565,https://courses.grainger.illinois.edu/cs565/
497,"Numerical techniques for initial and boundary value problems in partial differential equations. Finite difference and finite element discretization techniques, direct and iterative solution methods for discrete problems, and programming techniques and usage of software packages. Course Information: Same as CSE 510 and MATH 552. 4 graduate hours. No professional credit. Prerequisite: CS 450 or CS 457.",,Numerical Methods for PDEs,CS 555,https://relate.cs.illinois.edu/course/cs555-s21/
498,"Numerical algorithms for parallel computers: parallel algorithms in numerical linear algebra (dense and sparse solvers for linear systems and the algebraic eigenvalue problem), numerical handling of ordinary and partial differential equations, and numerical optimization techniques. Course Information: Same as CSE 512. Prerequisite: One of CS 450, CS 457, CS 555.",,Parallel Numerical Algorithms,CS 554,https://relate.cs.illinois.edu/course/cs554-f21/
499,"Numerical algorithms for parallel computers: parallel algorithms in numerical linear algebra (dense and sparse solvers for linear systems and the algebraic eigenvalue problem), numerical handling of ordinary and partial differential equations, and numerical optimization techniques. Course Information: Same as CSE 512. Prerequisite: One of CS 450, CS 457, CS 555.",,Parallel Numerical Algorithms,CS 554,https://relate.cs.illinois.edu/course/cs554-f21/
500,"Course Information: Same as PSYC 514, ANTH 514, EPSY 551, LING 570, and PHIL 514. See PSYC 514.",,Seminar in Cognitive Science,CS 549,https://compass2g.illinois.edu/webapps/blackboard/content/listContentEditable.jsp?content_id=_5491389_1&course_id=_60844_1
501,"Course Information: Same as PSYC 514, ANTH 514, EPSY 551, LING 570, and PHIL 514. See PSYC 514.",,Seminar in Cognitive Science,CS 549,https://compass2g.illinois.edu/webapps/blackboard/content/listContentEditable.jsp?content_id=_5491389_1&course_id=_60844_1
502,Course Information: Same as IE 534. See IE 534.,,Deep Learning,CS 547,https://publish.illinois.edu/r-sowers/ie534-spring-2021/
503,"Fundamentals of machine learning and signal processing as they pertain to the development of machines that can understand complex real-world signals, such as speech, images, movies, music, biological and mechanical readings, etc. Hands-on examples of how to decompose, analyze, classify, detect and consolidate signals, and examine various commonplace operations such as finding faces from camera feeds, organizing personal music collections, designing speech dialog systems and understanding movie content. Course Information: 4 graduate hours. No professional credit. Prerequisite: MATH 415; CS 361 or MATH 461 or STAT 400.",,Machine Learning for Signals,CS 545,https://sites.google.com/illinois.edu/cs545/home
504,"Fundamentals of machine learning and signal processing as they pertain to the development of machines that can understand complex real-world signals, such as speech, images, movies, music, biological and mechanical readings, etc. Hands-on examples of how to decompose, analyze, classify, detect and consolidate signals, and examine various commonplace operations such as finding faces from camera feeds, organizing personal music collections, designing speech dialog systems and understanding movie content. Course Information: 4 graduate hours. No professional credit. Prerequisite: MATH 415; CS 361 or MATH 461 or STAT 400.",,Machine Learning for Signals,CS 545,https://sites.google.com/illinois.edu/cs545/home
505,"Theory of reinforcement learning, with a focus on sample complexity analyses. Specific topics include MDP basics, finite-sample analyses of online (i.e., exploration) and offline (i.e., batch) RL with a tabular representation, finite-sample analyses of online and offline RL with function approximation, state abstraction theory, off-policy evaluation (importance sampling), and policy gradient. The course goal is to provide a comprehensive understanding of the statistical properties of RL under various settings (e.g., online vs offline), preparing the students for doing research in the area. Course Information: 4 graduate hours. No professional credit. Prerequisite: Calculus, linear algebra, probability and statistics, and basic concepts of machine learning. Familiarity with (at least one of) the following topics is highly recommended: stochastic processes, numerical analysis, and theoretical computer science.",,Stat Reinforcement Learning,CS 542,http://nanjiang.cs.illinois.edu/cs542/
506,"Theory of reinforcement learning, with a focus on sample complexity analyses. Specific topics include MDP basics, finite-sample analyses of online (i.e., exploration) and offline (i.e., batch) RL with a tabular representation, finite-sample analyses of online and offline RL with function approximation, state abstraction theory, off-policy evaluation (importance sampling), and policy gradient. The course goal is to provide a comprehensive understanding of the statistical properties of RL under various settings (e.g., online vs offline), preparing the students for doing research in the area. Course Information: 4 graduate hours. No professional credit. Prerequisite: Calculus, linear algebra, probability and statistics, and basic concepts of machine learning. Familiarity with (at least one of) the following topics is highly recommended: stochastic processes, numerical analysis, and theoretical computer science.",,Stat Reinforcement Learning,CS 542,http://nanjiang.cs.illinois.edu/cs542/
507,Course Information: Same as ECE 549. See ECE 549.,,Computer Vision,CS 543,http://slazebni.cs.illinois.edu/fall21
508,Course Information: Same as ECE 549. See ECE 549.,,Computer Vision,CS 543,http://slazebni.cs.illinois.edu/fall21
509,"A rigorous mathematical course covering foundational analyses of the approximation, optimization, and generalization properties of Deep Neural Networks. Topics include: constructive and non-constructive approximations with one hidden layer; benefits of depth; optimization in the NTK regime; maximum margin optimization outside the NTK regime; Rademacher complexity, VC dimensino, and covering number bounds for ReLU networks. Evaluation is primarily based on homeworks, with a smaller project component. The course goal is to prepare students perform their own research in the field. Course Information: 4 graduate hours. No professional credit. Prerequisite: Basic linear algebra, probability, proof-writing, and statistics required. Real analysis recommended.",,Deep Learning Theory,CS 540,https://mjt.cs.illinois.edu/courses/dlt-f21/
510,"A rigorous mathematical course covering foundational analyses of the approximation, optimization, and generalization properties of Deep Neural Networks. Topics include: constructive and non-constructive approximations with one hidden layer; benefits of depth; optimization in the NTK regime; maximum margin optimization outside the NTK regime; Rademacher complexity, VC dimensino, and covering number bounds for ReLU networks. Evaluation is primarily based on homeworks, with a smaller project component. The course goal is to prepare students perform their own research in the field. Course Information: 4 graduate hours. No professional credit. Prerequisite: Basic linear algebra, probability, proof-writing, and statistics required. Real analysis recommended.",,Deep Learning Theory,CS 540,https://mjt.cs.illinois.edu/courses/dlt-f21/
511,"Advanced concepts in computer networks, including congestion control, quality of service, naming, routing, wireless networks, Internet architecture, measurement, network security, and selected recent research directions. Course Information: Prerequisite: CS 438.",,Advanced Computer Networks,CS 538,https://courses.engr.illinois.edu/cs538
512,"Advanced topics in Internet of Things (IoT) algorithms, protocols, architectures, systems, and infrastructures, selected from areas of current research such as: IoT sensors representations and compression, streaming and caching of IoT data, IoT analytics and feature learning, IoT-edge-cloud computing infrastructures, resource optimization for multi-modal IoT systems, applications and human perception of IoT. Students will read and discuss recent research papers and conduct a semester-long research project. Course Information: 4 graduate hours. No professional credit. May be repeated, if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 425, CS 438. Additional prerequisites may be specified each term. See section information.",,Advanced Topics in IoT,CS 537,https://courses.grainger.illinois.edu/cs537/fa2021/index.html
513,"Advanced topics in Internet of Things (IoT) algorithms, protocols, architectures, systems, and infrastructures, selected from areas of current research such as: IoT sensors representations and compression, streaming and caching of IoT data, IoT analytics and feature learning, IoT-edge-cloud computing infrastructures, resource optimization for multi-modal IoT systems, applications and human perception of IoT. Students will read and discuss recent research papers and conduct a semester-long research project. Course Information: 4 graduate hours. No professional credit. May be repeated, if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 425, CS 438. Additional prerequisites may be specified each term. See section information.",,Advanced Topics in IoT,CS 537,https://courses.grainger.illinois.edu/cs537/fa2021/index.html
514,Theoretical aspects of parallel and pipeline computation; time and processor bounds on classes of computations; data alignment network speed and cost bounds; conflict-free access memories; overall computer system ideas. Course Information: Same as CSE 522. Prerequisite: CS 433.,,Parallel Computer Architecture,CS 533,https://courses.grainger.illinois.edu/cs533/
515,"Fault-tolerant software, software architecture, software patterns, multi-media software, and knowledge-based approaches to software engineering. Case studies. Course Information: Prerequisite: CS 428 or CS 429.",,Topics in Software Engineering,CS 527,https://wiki.illinois.edu/wiki/display/CS527FA21
516,"Fault-tolerant software, software architecture, software patterns, multi-media software, and knowledge-based approaches to software engineering. Case studies. Course Information: Prerequisite: CS 428 or CS 429.",,Topics in Software Engineering,CS 527,https://wiki.illinois.edu/wiki/display/CS527FA21
517,"Incremental and interactive compiling, error correction, code optimization, models of code generators. Course Information: Prerequisite: CS 426.",,Advanced Compiler Construction,CS 526,http://misailo.cs.illinois.edu/courses/526/
518,"Peer-to-peer systems, sensor networks, and fundamental theoretical distributed computing. Review of classical work in each area, and application of design methodologies to explore overlaps across them. Emphasis on protocol design, systems issues, and theory. Reading selections are roughly two-third classical to one-third contemporary. Students write critiques, make presentations, and create a conference paper in a systematic manner. Course Information: Prerequisite: One of CS 423, CS 425, CS 438.",,Advanced Distributed Systems,CS 525,https://courses.grainger.illinois.edu/cs525/
519,"Visualization techniques useful in analysis of engineering and scientific data. Physical models; methods of computational science; two- and three-dimensional data types; visual representation schemes for scalar, vector, and tensor data; isosurface and volume visualization methods; visual monitoring; interactive steering. Course Information: Same as CSE 527. Prerequisite: CS 418.",,Scientific Visualization,CS 519,https://www.coursera.org/
520,"Visualization techniques useful in analysis of engineering and scientific data. Physical models; methods of computational science; two- and three-dimensional data types; visual representation schemes for scalar, vector, and tensor data; isosurface and volume visualization methods; visual monitoring; interactive steering. Course Information: Same as CSE 527. Prerequisite: CS 418.",,Scientific Visualization,CS 519,https://www.coursera.org/
521,"An advanced course on principles and algorithms of data mining. Data cleaning and integration; descriptive and predictive mining; mining frequent, sequential, and structured patterns; clustering, outlier analysis and fraud detection; stream data, web, text, and biomedical data mining; security and privacy in data mining; research frontiers. Course Information: Prerequisite: CS 412.",,Data Mining Principles,CS 512,http://tonghanghang.org/course/cs512s21/cs512s2021.html
522,"Advanced concepts, models, and algorithms in information retrieval and major recent developments in the field, including historical milestones in information retrieval research, evaluation methodology, vector space retrieval model, probabilistic retrieval models, learning to rank algorithms, probabilistic topic models, information retrieval systems, text analytics, and topics of research frontiers in information retrieval. Course Information: 4 graduate hours. No professional credit. Prerequisite: One of CS 410, CS 412, CS 446 or LING 406.",,Advanced Information Retrieval,CS 510,https://courses.grainger.illinois.edu/cs510/
523,Course Information: Same as ECE 508. See ECE 508.,,Manycore Parallel Algorithms,CS 508,http://lumetta.web.engr.illinois.edu/508/
524,Course Information: Same as ECE 508. See ECE 508.,,Manycore Parallel Algorithms,CS 508,http://lumetta.web.engr.illinois.edu/508/
525,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 TO2,https://sarielhp.org/teach/20/b_sp21/
526,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 TO1,https://sarielhp.org/teach/20/b_sp21/
527,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 TC3,http://jeffe.cs.illinois.edu/teaching/compgeom/
528,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 TC4,http://jeffe.cs.illinois.edu/teaching/compgeom/
529,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RL2,http://nanjiang.cs.illinois.edu/cs498/
530,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RL1,http://nanjiang.cs.illinois.edu/cs498/
531,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RK2,https://uiuc-web-programming.gitlab.io/fa21/
532,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RK1,https://uiuc-web-programming.gitlab.io/fa21/
533,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RC1,https://canvas.illinois.edu/courses/14575
534,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 RC2,https://canvas.illinois.edu/courses/14575
535,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 PS4,https://courses.grainger.illinois.edu/cs498ps3/
536,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 PS3,https://courses.grainger.illinois.edu/cs498ps3/
537,Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,,Special Topics,CS 498 ME2,https://courses.grainger.illinois.edu/cs498me1/
